Loss,Time,Solver,Subset,p
885156.0786472288,0.12246918678283691,Analytic,Test,502
1.673040949736491e+17,1.0144224166870117,SGD,Train,502
3.6985632507546445e+17,1.0144224166870117,SGD,Test,502
9.068979707113143e-20,0.11693930625915527,Analytic,Train,502
885156.0786472288,0.11693930625915527,Analytic,Test,502
3.5082436015587604e+23,0.22306299209594727,SGD,Train,502
3.480456637814286e+23,0.22306299209594727,SGD,Test,502
9.068979707113143e-20,0.1230318546295166,Analytic,Train,502
885156.0786472288,0.1230318546295166,Analytic,Test,502
3.528226648132934e+19,0.5848538875579834,SGD,Train,502
4.31721418779717e+19,0.5848538875579834,SGD,Test,502
9.068979707113143e-20,0.11721563339233398,Analytic,Train,502
885156.0786472288,0.11721563339233398,Analytic,Test,502
2.966641136505525e+22,0.3255345821380615,SGD,Train,752
1.977548050270245e+22,0.3255345821380615,SGD,Test,752
5.470767965868325e-20,0.32666492462158203,Analytic,Train,752
572963.4359212316,0.32666492462158203,Analytic,Test,752
5.0789624496188963e+23,0.28696179389953613,SGD,Train,752
4.765586489398431e+23,0.28696179389953613,SGD,Test,752
5.470767965868325e-20,0.33237218856811523,Analytic,Train,752
572963.4359212316,0.33237218856811523,Analytic,Test,752
1.5005518815808414e-07,4.511411905288696,SGD,Train,752
572963.0784884958,4.511411905288696,SGD,Test,752
5.470767965868325e-20,0.323270320892334,Analytic,Train,752
572963.4359212316,0.323270320892334,Analytic,Test,752
7.592794586142248e-08,4.659697771072388,SGD,Train,752
572964.4502137788,4.659697771072388,SGD,Test,752
5.470767965868325e-20,0.32067418098449707,Analytic,Train,752
572963.4359212316,0.32067418098449707,Analytic,Test,752
1.1637366261137776e+24,0.31458020210266113,SGD,Train,752
1.1619091270307863e+24,0.31458020210266113,SGD,Test,752
5.470767965868325e-20,0.3376963138580322,Analytic,Train,752
572963.4359212316,0.3376963138580322,Analytic,Test,752
1.000202270836448e-07,4.666457176208496,SGD,Train,752
572963.3553107971,4.666457176208496,SGD,Test,752
5.470767965868325e-20,0.33428287506103516,Analytic,Train,752
572963.4359212316,0.33428287506103516,Analytic,Test,752
2.0948947775972327e-07,4.679368495941162,SGD,Train,752
572963.0925414443,4.679368495941162,SGD,Test,752
5.470767965868325e-20,0.3380849361419678,Analytic,Train,752
572963.4359212316,0.3380849361419678,Analytic,Test,752
3.288111257567303e-07,4.748448610305786,SGD,Train,752
572963.6883042493,4.748448610305786,SGD,Test,752
5.470767965868325e-20,0.33641862869262695,Analytic,Train,752
572963.4359212316,0.33641862869262695,Analytic,Test,752
1.3172551380581305e-07,4.716474294662476,SGD,Train,752
572963.5304954901,4.716474294662476,SGD,Test,752
5.470767965868325e-20,0.33104991912841797,Analytic,Train,752
572963.4359212316,0.33104991912841797,Analytic,Test,752
9.88845568251362e-08,4.647085905075073,SGD,Train,752
572962.9167367133,4.647085905075073,SGD,Test,752
5.470767965868325e-20,0.34238600730895996,Analytic,Train,752
572963.4359212316,0.34238600730895996,Analytic,Test,752
2.4928244117262884e-07,4.706861972808838,SGD,Train,752
572963.7827998075,4.706861972808838,SGD,Test,752
5.470767965868325e-20,0.3319118022918701,Analytic,Train,752
572963.4359212316,0.3319118022918701,Analytic,Test,752
1.0461688147980085e-07,4.516884803771973,SGD,Train,752
572963.7435085014,4.516884803771973,SGD,Test,752
5.470767965868325e-20,0.3180680274963379,Analytic,Train,752
572963.4359212316,0.3180680274963379,Analytic,Test,752
9.570917191411401e-08,4.641316890716553,SGD,Train,752
572963.187377979,4.641316890716553,SGD,Test,752
5.470767965868325e-20,0.3210148811340332,Analytic,Train,752
572963.4359212316,0.3210148811340332,Analytic,Test,752
7.958397215812616e+23,0.28978562355041504,SGD,Train,752
8.225118178023622e+23,0.28978562355041504,SGD,Test,752
5.470767965868325e-20,0.3222942352294922,Analytic,Train,752
572963.4359212316,0.3222942352294922,Analytic,Test,752
1.5601853884274202e-07,4.59857702255249,SGD,Train,752
572963.7856320497,4.59857702255249,SGD,Test,752
5.470767965868325e-20,0.33648180961608887,Analytic,Train,752
572963.4359212316,0.33648180961608887,Analytic,Test,752
7.109076172831304e-08,4.780019760131836,SGD,Train,752
572962.57016511,4.780019760131836,SGD,Test,752
5.470767965868325e-20,0.3206017017364502,Analytic,Train,752
572963.4359212316,0.3206017017364502,Analytic,Test,752
6.878886454568859e-07,4.689096450805664,SGD,Train,752
572963.9828176784,4.689096450805664,SGD,Test,752
5.470767965868325e-20,0.32468700408935547,Analytic,Train,752
572963.4359212316,0.32468700408935547,Analytic,Test,752
1.872782250030697e-07,4.889028072357178,SGD,Train,752
572963.6416130884,4.889028072357178,SGD,Test,752
5.470767965868325e-20,0.3304905891418457,Analytic,Train,752
572963.4359212316,0.3304905891418457,Analytic,Test,752
2.6866530570207222e+23,0.3567163944244385,SGD,Train,752
2.492329086801398e+23,0.3567163944244385,SGD,Test,752
5.470767965868325e-20,0.3317697048187256,Analytic,Train,752
572963.4359212316,0.3317697048187256,Analytic,Test,752
1.0414809473554049e-07,4.798050165176392,SGD,Train,752
572963.006823101,4.798050165176392,SGD,Test,752
5.470767965868325e-20,0.338576078414917,Analytic,Train,752
572963.4359212316,0.338576078414917,Analytic,Test,752
1.2441978876970578e+23,0.5147929191589355,SGD,Train,1002
1.1434664125623692e+23,0.5147929191589355,SGD,Test,1002
3.398584675787302e-20,0.7367982864379883,Analytic,Train,1002
467893.4719114965,0.7367982864379883,Analytic,Test,1002
1.118315312211969e+24,0.40589213371276855,SGD,Train,1002
1.1107469612479232e+24,0.40589213371276855,SGD,Test,1002
3.398584675787302e-20,0.734079122543335,Analytic,Train,1002
